"","counts"
"11A",256
"11B",273
"12A",216
"12B",248
"14A",264
"14B",282
"15A",305
"15B",298
"17A",305
"17B",326
"18A",311
"18B",225
"20A",275
"20B",210
"21A",230
"21B",205
"23A",252
"23B",175
"24A",299
"24B",196
"2A",270
"2B",263
"3A",211
"3B",267
"5A",194
"5B",246
"6A",259
"6B",223
"8A",242
"8B",259
"9A",280
"9B",231
